125,176,3,15
122,193,3,17
126,204,7,18
140,204,6,20
148,212,7,23
137,211,6,20
147,216,8,22
142,212,8,22
147,216,8,22
144,214,8,22
147,214,11,24
147,212,8,23
148,212,9,27
153,211,9,24
147,211,9,24
152,212,9,24
148,214,10,24
147,214,10,23
146,215,13,24
147,215,12,24
155,215,14,24
150,216,14,24
152,214,11,24
148,214,12,24
150,215,11,24
152,218,12,24
150,220,12,24
148,217,14,24
148,212,12,24
142,212,15,24
140,217,14,27
138,217,17,24
142,216,15,24
137,211,14,25
139,211,15,25
140,209,14,24
143,214,15,24
147,211,15,28
145,207,14,26
136,203,14,24
147,202,12,25
145,199,12,25
