
225,468,44,24
230,467,44,24
231,476,44,24
238,474,44,24
232,478,46,24
232,481,49,24
236,483,48,27
231,483,47,24
233,480,48,26
232,480,47,24
233,480,48,27
236,480,47,25
238,486,48,25
237,487,48,25
235,486,48,25
233,481,48,24
232,483,48,24
241,487,48,25
239,486,48,25
240,487,49,25
238,487,51,25
238,486,48,25
238,483,48,27
235,483,48,24
232,484,48,26
239,487,51,24
238,486,51,24
240,486,49,25
242,487,50,27
239,484,49,27
238,487,48,25
236,483,49,25
236,486,49,27
236,483,49,25
232,484,49,24
243,487,51,26
240,484,51,27
243,487,51,28
240,484,49,25
239,483,50,25
236,487,51,25
236,482,50,24
233,486,50,25
243,489,51,25
240,490,51,26
239,484,50,28
238,487,49,26
233,483,50,24
240,484,50,25
243,488,51,27
240,487,51,25
239,483,51,27
237,482,50,25
236,487,51,26
236,486,49,25
243,490,51,25
242,488,51,26
243,491,51,27
242,488,51,25
240,487,50,24
236,487,51,25
236,484,51,25
232,484,51,25
238,487,50,24
238,484,51,26
236,489,51,28
236,484,51,27
236,483,50,25
236,487,51,27
240,489,51,26
237,484,50,28
243,488,54,26
236,486,51,25
244,486,52,27
242,486,51,26
236,487,51,25
243,487,51,28
240,487,51,28
236,486,51,26
239,482,51,27
241,486,52,25
243,487,52,27
238,487,54,27
244,486,51,25
243,488,52,27
240,487,51,27
238,484,52,27
236,486,51,25
235,486,51,27
236,486,52,26
234,485,51,25
