2512,3961,3673,3852
2425,3937,3623,3784
2465,3943,3618,3824
2424,3943,3616,3795
2402,3939,3612,3782
2488,3950,3658,3823
2455,3951,3635,3815
2532,3936,3687,3859
2521,3959,3672,3855
2501,3953,3660,3847
2514,3955,3675,3851
2416,3939,3596,3799
2438,3947,3615,3815
2444,3939,3631,3798
2424,3939,3615,3784
2496,3955,3672,3839
2489,3955,3660,3830
2531,3955,3685,3858
2535,3965,3684,3863
2473,3943,3644,3831
2492,3951,3663,3837
2417,3934,3608,3787
2432,3906,3623,3797
2449,3949,3623,3815
2435,3943,3619,3799
2527,3953,3652,3857
2511,3936,3676,3843
2513,3951,3664,3853
2520,3963,3679,3856
2451,3936,3633,3809
2471,3947,3647,3827
2428,3935,3600,3791
2416,3942,3612,3782
2494,3950,3651,3832
2468,3947,3640,3822
2535,3928,3687,3840
2531,3963,3680,3863
2472,3951,3652,3808
2503,3935,3665,3845
2420,3932,3600,3787
2436,3931,3622,3800
2459,3943,3643,3808
2438,3943,3624,3793
2525,3936,3679,3851
2509,3931,3673,3812
2505,3951,3672,3840
2526,3959,3679,3856
2454,3915,3631,3801
2464,3951,3645,3824
2430,3935,3616,3791
2422,3913,3615,3775
2499,3950,3647,3837
2475,3936,3655,3819
2519,3958,3654,3863
2533,3943,3683,3857
2479,3942,3647,3827
2480,3955,3635,3843
2423,3935,3609,3783
2419,3936,3600,3795
2478,3948,3655,3816
2455,3943,3638,3803
2535,3956,3687,3857
2523,3956,3683,3848
2495,3947,3659,3839
2518,3959,3671,3851
2432,3934,3619,3791
2453,3918,3633,3809
2444,3937,3625,3781
2423,3939,3619,3783
2504,3956,3667,3839
2479,3949,3651,3809
2535,3936,3684,3855
2528,3959,3683,3854
2491,3947,3659,3832
2510,3955,3667,3851
2427,3932,3612,3791
2435,3939,3626,3784
2447,3939,3631,3795
2427,3939,3615,3784
2502,3955,3655,3845
2493,3935,3663,3811
2530,3947,3678,3855
2532,3963,3683,3857
2475,3945,3647,3827
2499,3950,3662,3843
2421,3904,3612,3782
2438,3913,3623,3776
2456,3939,3635,3803
2431,3943,3619,3785
2512,3961,3672,3854
2497,3953,3638,3835
2506,3955,3675,3840
2535,3929,3687,3840
2470,3936,3643,3819
2492,3942,3655,3833
2423,3935,3615,3780
2425,3935,3614,3787
2471,3945,3645,3819
2445,3923,3632,3779
2528,3940,3683,3851
2511,3943,3672,3841
2517,3948,3676,3840
2514,3961,3679,3855
2447,3936,3628,3807
2463,3948,3616,3828
2421,3935,3615,3760
2417,3935,3584,3783
2495,3948,3667,3808
2470,3948,3646,3819
2535,3955,3656,3861
2526,3965,3680,3855
2492,3948,3659,3835
2511,3952,3675,3846
2431,3934,3621,3776
2451,3912,3635,3808
2432,3940,3625,3771
2416,3943,3614,3787
2511,3936,3673,3839
