2240,3887,3344,3637,,,,,,,,,,,
2239,3891,3367,3615,,,,,,,,,,,
2216,3887,3347,3591,,,,,,,,,,,
2291,3872,3423,3679,,,A,B,C,D,,,,,
2263,3879,3392,3651,,Média,2267.125,3887.944444,3388.921296,3646.925926,,2267,3888,3389,3647
2304,3909,3443,3711,,Min,2202,3852,3320,3558,,,,,
2310,3911,3416,3707,,Max,2325,3911,3447,3711,,,,,
2280,3896,3417,3691,,,,,,,,,,,
2303,3887,3416,3711,,,,,,,,,,,
2227,3887,3359,3628,,,,,,,,,,,
2255,3893,3388,3648,,Média,237.5054945,484.7032967,49.76923077,25.58241758,,238,485,50,26
2216,3885,3335,3599,,Min,225,467,44,24,,,,,
2216,3879,3330,3599,,Max,244,491,54,28,,,,,
2265,3872,3404,3663,,,,,,,,,,,
2247,3891,3359,3616,,,,,,,,,,,
2316,3900,3447,3682,,,,,,,,,,,
2303,3900,3437,3672,,,,,,,,,,,
2288,3900,3419,3680,,,,,,,,,,,
2300,3903,3433,3708,,,,,,,,,,,
2249,3885,3351,3620,,,,,,,,,,,
2259,3884,3396,3671,,,,,,,,,,,
2215,3864,3343,3571,,,,,,,,,,,
2213,3872,3347,3601,,,,,,,,,,,
2263,3879,3390,3647,,,,,,,,,,,
2231,3870,3359,3607,,,,,,,,,,,
2303,3879,3428,3699,,,,,,,,,,,
2277,3894,3389,3648,,,,,,,,,,,
2316,3881,3436,3711,,,,,,,,,,,
2304,3911,3441,3698,,,,,,,,,,,
2284,3897,3380,3683,,,,,,,,,,,
2295,3896,3431,3697,,,,,,,,,,,
2240,3887,3359,3627,,,,,,,,,,,
2267,3883,3368,3656,,,,,,,,,,,
2215,3872,3343,3568,,,,,,,,,,,
2216,3887,3343,3584,,,,,,,,,,,
2259,3886,3386,3641,,,,,,,,,,,
2215,3887,3359,3584,,,,,,,,,,,
2304,3907,3431,3683,,,,,,,,,,,
2278,3903,3405,3640,,,,,,,,,,,
2315,3903,3443,3684,,,,,,,,,,,
2307,3907,3441,3680,,,,,,,,,,,
2283,3899,3415,3672,,,,,,,,,,,
2307,3896,3437,3681,,,,,,,,,,,
2246,3887,3367,3631,,,,,,,,,,,
2271,3895,3387,3640,,,,,,,,,,,
2215,3872,3343,3564,,,,,,,,,,,
2223,3879,3340,3607,,,,,,,,,,,
2255,3883,3380,3637,,,,,,,,,,,
2227,3875,3336,3606,,,,,,,,,,,
2296,3906,3431,3687,,,,,,,,,,,
2274,3894,3384,3660,,,,,,,,,,,
2312,3907,3427,3711,,,,,,,,,,,
2311,3880,3441,3703,,,,,,,,,,,
2287,3897,3415,3664,,,,,,,,,,,
2312,3903,3419,3704,,,,,,,,,,,
2247,3879,3359,3623,,,,,,,,,,,
2264,3872,3392,3668,,,,,,,,,,,
2219,3871,3336,3591,,,,,,,,,,,
2216,3883,3351,3602,,,,,,,,,,,
2248,3895,3374,3600,,,,,,,,,,,
2208,3886,3349,3588,,,,,,,,,,,
2284,3896,3427,3683,,,,,,,,,,,
2259,3875,3384,3647,,,,,,,,,,,
2323,3911,3427,3704,,,,,,,,,,,
2303,3911,3415,3692,,,,,,,,,,,
2305,3899,3416,3699,,,,,,,,,,,
2319,3903,3442,3711,,,,,,,,,,,
2272,3895,3390,3647,,,,,,,,,,,
2295,3903,3407,3664,,,,,,,,,,,
2224,3879,3320,3603,,,,,,,,,,,
2252,3887,3360,3644,,,,,,,,,,,
2227,3880,3359,3584,,,,,,,,,,,
2215,3853,3343,3583,,,,,,,,,,,
2283,3901,3405,3638,,,,,,,,,,,
2245,3887,3367,3609,,,,,,,,,,,
2305,3907,3440,3696,,,,,,,,,,,
2291,3903,3408,3681,,,,,,,,,,,
2307,3875,3424,3711,,,,,,,,,,,
2319,3911,3427,3696,,,,,,,,,,,
2275,3870,3395,3663,,,,,,,,,,,
2299,3902,3406,3680,,,,,,,,,,,
2216,3883,3343,3600,,,,,,,,,,,
2255,3883,3376,3647,,,,,,,,,,,
2220,3856,3344,3599,,,,,,,,,,,
2204,3883,3323,3591,,,,,,,,,,,
2271,3888,3403,3635,,,,,,,,,,,
2233,3865,3368,3619,,,,,,,,,,,
2317,3891,3438,3705,,,,,,,,,,,
2291,3880,3423,3663,,,,,,,,,,,
2304,3903,3415,3703,,,,,,,,,,,
2319,3911,3418,3711,,,,,,,,,,,
2275,3895,3391,3663,,,,,,,,,,,
2296,3903,3415,3671,,,,,,,,,,,
2226,3863,3343,3603,,,,,,,,,,,
2233,3887,3366,3624,,,,,,,,,,,
2237,3856,3366,3599,,,,,,,,,,,
2205,3885,3347,3579,,,,,,,,,,,
2288,3903,3423,3679,,,,,,,,,,,
2270,3901,3395,3625,,,,,,,,,,,
2319,3895,3428,3711,,,,,,,,,,,
2304,3911,3439,3704,,,,,,,,,,,
2281,3892,3407,3656,,,,,,,,,,,
2302,3903,3424,3695,,,,,,,,,,,
2222,3872,3355,3615,,,,,,,,,,,
2255,3891,3374,3617,,,,,,,,,,,
2231,3863,3355,3599,,,,,,,,,,,
2204,3884,3325,3583,,,,,,,,,,,
2289,3903,3404,3664,,,,,,,,,,,
2255,3869,3390,3639,,,,,,,,,,,
2308,3904,3447,3711,,,,,,,,,,,
2311,3903,3417,3688,,,,,,,,,,,
2276,3897,3407,3676,,,,,,,,,,,
2302,3903,3400,3699,,,,,,,,,,,
2223,3881,3351,3600,,,,,,,,,,,
2243,3887,3375,3632,,,,,,,,,,,
2216,3886,3353,3599,,,,,,,,,,,
2214,3856,3343,3576,,,,,,,,,,,
2289,3879,3415,3671,,,,,,,,,,,
2249,3895,3389,3624,,,,,,,,,,,
2318,3910,3416,3710,,,,,,,,,,,
2310,3895,3436,3697,,,,,,,,,,,
2283,3897,3413,3664,,,,,,,,,,,
2303,3900,3431,3672,,,,,,,,,,,
2240,3884,3343,3627,,,,,,,,,,,
2268,3891,3368,3659,,,,,,,,,,,
2217,3876,3343,3568,,,,,,,,,,,
2215,3852,3340,3583,,,,,,,,,,,
2275,3872,3405,3638,,,,,,,,,,,
2240,3895,3359,3619,,,,,,,,,,,
2307,3903,3439,3688,,,,,,,,,,,
2299,3884,3431,3676,,,,,,,,,,,
2300,3897,3423,3666,,,,,,,,,,,
2318,3897,3439,3709,,,,,,,,,,,
2255,3880,3377,3617,,,,,,,,,,,
2272,3899,3395,3671,,,,,,,,,,,
2207,3864,3341,3583,,,,,,,,,,,
2230,3865,3351,3608,,,,,,,,,,,
2252,3891,3372,3627,,,,,,,,,,,
2212,3887,3349,3593,,,,,,,,,,,
2307,3903,3404,3689,,,,,,,,,,,
2281,3899,3407,3663,,,,,,,,,,,
2318,3872,3438,3704,,,,,,,,,,,
2304,3911,3420,3707,,,,,,,,,,,
2279,3864,3399,3669,,,,,,,,,,,
2297,3872,3423,3687,,,,,,,,,,,
2222,3879,3349,3588,,,,,,,,,,,
2257,3889,3364,3647,,,,,,,,,,,
2223,3876,3351,3564,,,,,,,,,,,
2217,3879,3328,3583,,,,,,,,,,,
2278,3891,3396,3655,,,,,,,,,,,
2243,3860,3375,3613,,,,,,,,,,,
2304,3907,3414,3699,,,,,,,,,,,
2291,3899,3416,3675,,,,,,,,,,,
2310,3888,3431,3689,,,,,,,,,,,
2312,3911,3418,3709,,,,,,,,,,,
2275,3875,3387,3655,,,,,,,,,,,
2288,3903,3411,3664,,,,,,,,,,,
2224,3875,3336,3593,,,,,,,,,,,
2243,3876,3367,3600,,,,,,,,,,,
